term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-5872.092682842821,310.28515535134994,-18.924826346247805,1.1839409761892397e-54,-6482.4722360105425,-5261.7131296750995
flipper_length_mm,50.15326594224111,1.5402309838246353,32.56217182289288,3.1328362509726213e-105,47.12339008943915,53.18314179504308
